id,filename,predicted_en,confidence_en,actual_sentiment,category,predicted_jp,confidence_jp
jp_001,IMG_0018.jpeg,funny,0.21766343712806702,sarcastic,anime,面白いミーム,0.2466285079717636
jp_002,IMG_0017.jpeg,funny,0.3905610740184784,wholesome,cute_character,ほのぼのミーム,0.44689008593559265
jp_003,IMG_0016.jpeg,funny,0.30793777108192444,funny,vtuber_gaming,攻撃的なミーム,0.3703654706478119
jp_004,IMG_0015.jpeg,funny,0.3356234133243561,funny,anime_demon_slayer,面白いミーム,0.28575485944747925
jp_005,IMG_0013.jpeg,wholesome,0.23467321693897247,funny,idol_game,ほのぼのミーム,0.30826422572135925
jp_006,IMG_0011.jpeg,funny,0.285476416349411,funny,vtuber,攻撃的なミーム,0.2511676847934723
jp_007,IMG_0112.jpeg,wholesome,0.38812148571014404,funny,gaming_ff14,ほのぼのミーム,0.35548585653305054
jp_008,IMG_0111.jpeg,funny,0.5989260077476501,funny,internet_culture,面白いミーム,0.3477332592010498
jp_009,IMG_0110.jpeg,political,0.391078382730484,sarcastic,politics,政治的なミーム,0.2813343107700348
jp_010,IMG_0108.jpeg,wholesome,0.493020236492157,funny,anime_spy_family,ほのぼのミーム,0.5384583473205566
jp_011,IMG_0109.jpeg,funny,0.30485907196998596,sarcastic,politics,面白いミーム,0.30668506026268005
jp_012,IMG_0103.jpeg,neutral,0.4760846197605133,funny,anime_jjk,攻撃的なミーム,0.3030131459236145
jp_013,IMG_0104.jpeg,funny,0.2783131003379822,funny,anime_jjk,攻撃的なミーム,0.31638994812965393
jp_014,IMG_0105.jpeg,neutral,0.37717315554618835,funny,anime_jjk,攻撃的なミーム,0.3493882119655609
jp_015,IMG_0106.jpeg,wholesome,0.6088219285011292,wholesome,anime_spy_family,ほのぼのミーム,0.417925626039505
jp_016,IMG_0107.jpeg,wholesome,0.41201454401016235,wholesome,anime_spy_family,ほのぼのミーム,0.38350769877433777
jp_017,IMG_0102.jpeg,neutral,0.3893416225910187,funny,anime_jjk,面白いミーム,0.27846455574035645
jp_018,IMG_0101.jpeg,wholesome,0.44653892517089844,funny,anime_jjk,中立的なミーム,0.23067863285541534
jp_019,IMG_0100.jpeg,wholesome,0.30952373147010803,funny,anime_demon_slayer,面白いミーム,0.2790636420249939
jp_020,IMG_0099.jpeg,sarcastic,0.2619432508945465,funny,anime_demon_slayer,攻撃的なミーム,0.3309781849384308
jp_021,IMG_0098.jpeg,sarcastic,0.38465404510498047,wholesome,anime_demon_slayer,面白いミーム,0.3026411235332489
jp_022,IMG_0097.jpeg,funny,0.2709117829799652,funny,anime_demon_slayer,攻撃的なミーム,0.25521737337112427
jp_023,IMG_0096.jpeg,wholesome,0.4980800151824951,funny,cat_meme,中立的なミーム,0.6023731231689453
jp_024,IMG_0095.jpeg,wholesome,0.7153117060661316,funny,anime_crossover,中立的なミーム,0.2666444480419159
jp_025,IMG_0094.jpeg,neutral,0.3960326611995697,funny,gaming_history,面白いミーム,0.44167351722717285
jp_026,IMG_0093.jpeg,funny,0.21790996193885803,sarcastic,daily_life,政治的なミーム,0.23495560884475708
jp_027,IMG_0092.jpeg,political,0.7208051085472107,funny,tv_show,政治的なミーム,0.31143566966056824
jp_028,IMG_0091.jpeg,wholesome,0.25276848673820496,funny,internet_culture,ほのぼのミーム,0.3339828848838806
jp_029,IMG_0090.jpeg,funny,0.3522644340991974,funny,comparison,中立的なミーム,0.2971784770488739
jp_030,IMG_0089.jpeg,funny,0.25214284658432007,sarcastic,internet_culture,中立的なミーム,0.24911989271640778
jp_031,IMG_0088.jpeg,funny,0.40230506658554077,funny,anime_crossover,中立的なミーム,0.22407007217407227
jp_032,IMG_0087.jpeg,funny,0.31777581572532654,funny,gaming_pokemon,ほのぼのミーム,0.33080893754959106
jp_033,IMG_0086.jpeg,funny,0.27791571617126465,sarcastic,news,政治的なミーム,0.2808632254600525
jp_034,IMG_0085.jpeg,wholesome,0.48903295397758484,funny,anime_evangelion,面白いミーム,0.20725370943546295
jp_035,IMG_0084.jpeg,funny,0.31385180354118347,funny,sports,中立的なミーム,0.2535286247730255
jp_036,IMG_0083.jpeg,funny,0.3790445029735565,funny,photo_funny,ほのぼのミーム,0.38105493783950806
jp_037,IMG_0082.jpeg,funny,0.2880658507347107,sarcastic,bokete,政治的なミーム,0.22552768886089325
jp_038,IMG_0081.jpeg,funny,0.2818039059638977,funny,stock_photo,中立的なミーム,0.23936642706394196
jp_039,IMG_0080.jpeg,funny,0.4332394301891327,funny,tv_variety,中立的なミーム,0.28487634658813477
jp_040,IMG_0079.jpeg,funny,0.31615614891052246,funny,anime_history,中立的なミーム,0.24308380484580994
jp_041,IMG_0078.jpeg,funny,0.26897132396698,sarcastic,bokete,ほのぼのミーム,0.335369348526001
jp_042,IMG_0077.jpeg,funny,0.4289172291755676,funny,reaction,皮肉なミーム,0.23925670981407166
jp_043,IMG_0076.jpeg,funny,0.2893957793712616,funny,idol,中立的なミーム,0.2527768015861511
jp_044,IMG_0075.jpeg,funny,0.36205920577049255,funny,cat_bokete,ほのぼのミーム,0.347500205039978
jp_045,IMG_0074.jpeg,funny,0.3558247983455658,funny,gaming,政治的なミーム,0.30251553654670715
jp_046,IMG_0073.jpeg,funny,0.3559059202671051,funny,cat_meme,ほのぼのミーム,0.3935110867023468
jp_047,IMG_0072.jpeg,funny,0.278326153755188,funny,gaming_vocaloid,面白いミーム,0.33903947472572327
jp_048,IMG_0071.jpeg,funny,0.3853769302368164,funny,vtuber,面白いミーム,0.3017813265323639
jp_049,IMG_0070.jpeg,funny,0.3387635350227356,funny,anime_gundam,面白いミーム,0.24212320148944855
jp_050,IMG_0069.jpeg,funny,0.32280826568603516,neutral,gaming_baseball,面白いミーム,0.4827183485031128
jp_051,IMG_0068.jpeg,funny,0.3264595568180084,sarcastic,anime_gundam,攻撃的なミーム,0.34054887294769287
jp_052,IMG_0065.jpeg,neutral,0.37747132778167725,sarcastic,anime_frieren,面白いミーム,0.2572244703769684
jp_053,IMG_0067.jpeg,sarcastic,0.3050672709941864,funny,tv_variety,面白いミーム,0.23696188628673553
jp_054,IMG_0066.jpeg,funny,0.38029277324676514,funny,anime_fate,面白いミーム,0.3648693263530731
