id,filename,text_in_image,text_english,sentiment,category,notes
jp_001,IMG_0018.jpeg,逞ｴ貍｢縺ｫ迢吶ｏ繧後ｄ縺吶＞遶九■譁ｹ / 逞ｴ貍｢縺ｫ迢吶ｏ繧後↓縺上＞遶九■譁ｹ,Ways to be targeted by gropers vs Ways to avoid being targeted,sarcastic,anime,Comparison meme about body language
jp_002,IMG_0017.jpeg,縺輔・縺・〒縺｡繧・・繝ｻ繝ｻ・・ｼ・ｼ・ｼ・ｼ・It's so cold...!!!!!,wholesome,cute_character,Shivering hamster/dog character,
jp_003,IMG_0016.jpeg,縺ｿ縺薙■縲√□縺・☆縺阪ゆｻ頑律繧ゅ♀蛛･繧・°縺ｫ縲・I love Mikochi. Stay healthy today too.,funny,vtuber_gaming,Hololive Miko with sniper rifle,
jp_004,IMG_0015.jpeg,隕九↑繧遺ｦ繧ｪ繝ｬ縺ｮ鄒ｩ蜍・＆繧薙ｒ窶ｦ,Look at... my Giyuu-san...,funny,anime_demon_slayer,Demon Slayer fan meme
jp_005,IMG_0013.jpeg,荳崎憶縺ｮ繧・▽ / 縺ｪ繧薙↑縺ｮ繧医⊇繧薙→,The delinquent one / What is this really,funny,idol_game,ShinyMas/Idolmaster compilation
jp_006,IMG_0011.jpeg,闡幄痩200荳・ｺｺ險伜ｿｵ3D繝ｩ繧､繝・Kuzuha 2M celebration 3D live,funny,vtuber,Real face vs VTuber avatar comparison,
jp_007,IMG_0112.jpeg,繧ｨ繧ｪ譌・/ 縺薙ｌ縺九ｉ繝輔Ξ縺輔ｓ螳・↓蜀・ｷ偵〒縺企が鬲斐＠繧医≧縺ｨ莨√・,Eorzea trip / Planning to secretly visit a friend's house,funny,gaming_ff14,Final Fantasy 14 Lalafell characters
jp_008,IMG_0111.jpeg,縲後ｉ縲阪▲縺ｦ縺ｪ繧薙ｄ縺ｭ繧努ww / 縲後ｏ繧峨＞縲阪ｒ莠域ｸｬ螟画鋤縺励◆縺九▲縺溘ｓ縺九↑www,"What's with just ""ra"" www / Probably tried to type ""warai"" (laugh) www",funny,internet_culture,Typo humor - typed 繧・instead of 隨・
jp_009,IMG_0110.jpeg,NHK蜈壹・蜊ｱ讖溽噪迥ｶ豕√↓諞ゅ＞繧貞ｸｯ縺吶℃繧九◆縺､繧阪・縺｡繧・ｓ,Tatsuro-chan looking too worried about NHK Party's crisis,sarcastic,politics,Political commentary meme
jp_010,IMG_0108.jpeg,(No text in image - Anya peanut evolution),Anya peanut evolution,funny,anime_spy_family,Spy x Family Anya peanut meme - evolution stages
