id,predicted,confidence,text
en_0000,a neutral meme,0.3421010673046112,its their character not their color that matters
en_0001,a wholesome meme,0.4501263201236725,don't be afraid to love again everyone is not like
en_0002,a wholesome meme,0.37933680415153503,putting bows on your pet
en_0003,a wholesome meme,0.3673698902130127,i love everything and everybody! except for squirr
en_0004,a sarcastic meme,0.22738496959209442,"everybody loves chocolate chip cookies, even hitle"
en_0005,an offensive meme,0.3140835762023926,go sports! do the thing! win the points!
en_0006,a sarcastic meme,0.32051873207092285,fine you're right. now can we fucking drop it?
en_0007,a wholesome meme,0.5419542193412781,tattoos are bad for your health i know 5 million p
en_0008,a funny meme,0.3445633351802826,how long can i run? till the chain tightens
en_0009,a political meme,0.9131577014923096,what is he hiding? we need to see his tax returns!
en_0010,an offensive meme,0.22863325476646423,jew mad? get fuhrerious!
en_0011,a neutral meme,0.3197009265422821,"removes polish with chemicals, nobody bats an eye"
en_0012,a sarcastic meme,0.3702838122844696,brother... a day without a blast is a day wasted
en_0013,a wholesome meme,0.826350212097168,when you're the only dog left at the dog shelter a
en_0014,a political meme,0.8758791089057922,voting for hillary is like letting casey anthony w
en_0015,a political meme,0.38659361004829407,they will soon be free
en_0016,a wholesome meme,0.5308554172515869,is it ok for your son or daughter to call another 
en_0017,a funny meme,0.30223020911216736,most religions are religions of peace
en_0018,a political meme,0.6488949656486511,when you find out there's an opening for the role 
en_0019,a sarcastic meme,0.2910068929195404,if people reject me because i stand on the truth t
en_0020,a wholesome meme,0.5432497262954712,from the bottom of my heart i would like to sincer
en_0021,a political meme,0.3311351239681244,lets erect a memorial to all the americans murdere
en_0022,a funny meme,0.259452223777771,just because they do this dosen't mean they'll do 
en_0023,a political meme,0.40503764152526855,if there is no race it can't be homicide
en_0024,a political meme,0.7519235610961914,here's to all my friends who never post about poli
en_0025,a wholesome meme,0.33717942237854004,enjoying a day at the beach
en_0026,a wholesome meme,0.4146377146244049,when you come home from a long day of suicide bomb
en_0027,a political meme,0.8318743705749512,is bribing muslims for liberal votes justin trudea
en_0028,a funny meme,0.3837665915489197,when they take too long to blow out the candle
en_0029,a political meme,0.8117474317550659,one simple question why are we letting one man sys
en_0030,a sarcastic meme,0.3354231119155884,d.j. osama spin laden droppin' beats like the twin
en_0031,a sarcastic meme,0.309807687997818,move to new york they said it'll be fun they said
en_0032,a sarcastic meme,0.3833094537258148,my sandwich-maker is very slow today
en_0033,a sarcastic meme,0.33654776215553284,when you accidentally fall in the toilet
en_0034,a wholesome meme,0.6066769957542419,two woman walking home together after a nice day o
en_0035,an offensive meme,0.3648797273635864,texas churches be like... pew pew pew
en_0036,a political meme,0.31621840596199036,i don't always have a heat stroke and get frostbit
en_0037,a wholesome meme,0.4164985716342926,doesn't wear tampons because she trips over the st
en_0038,a wholesome meme,0.5457724928855896,when you can't decide to pre heat the oven or just
en_0039,an offensive meme,0.21920044720172882,happy shot in the face day 5-2-2011
en_0040,a funny meme,0.3025260865688324,1 bomb every minute
en_0041,a political meme,0.26381582021713257,black power comes with a lot of responsibility
en_0042,an offensive meme,0.23908232152462006,that chiken is so black no one is going to eat it
en_0043,a wholesome meme,0.6223613619804382,i hope both teams lose
en_0044,a political meme,0.24414348602294922,say the damn pronouns
en_0045,a neutral meme,0.2731323838233948,goin
en_0046,a political meme,0.8221041560173035,we need problem solvers not racist and religious b
en_0047,a funny meme,0.42190486192703247,officer down
en_0048,a political meme,0.8112151026725769,we said we would never forget why are you voting t
en_0049,a sarcastic meme,0.4993143081665039,when a porn video features a tranny but then' she'
en_0050,a political meme,0.9137935042381287,rep. dan crenshaw former navy seal decorated war h
en_0051,a sarcastic meme,0.5361066460609436,nice watch must have cost an arm and a leg
en_0052,a sarcastic meme,0.35708320140838623,i'm sick of politics so here's a pic of michelle o
en_0053,a political meme,0.5627923011779785,when you suck at photoshop
en_0054,a political meme,0.6287164688110352,for the last time.. i'm not michelle obama
en_0055,a funny meme,0.309039443731308,i'm cute
en_0056,a sarcastic meme,0.39831387996673584,and then i told them you're going on a fun camping
en_0057,a political meme,0.6488394141197205,"the jussie smollett case explained. ""how do you pl"
en_0058,a wholesome meme,0.31463003158569336,please consider donating water to children in need
en_0059,a wholesome meme,0.27876535058021545,you're a wizard motherfucker
en_0060,a political meme,0.4610349237918854,"relax mexicans you are rapists, drug lords and cri"
en_0061,a sarcastic meme,0.45886990427970886,hey look at me! i'm a serial pedofile
en_0062,a sarcastic meme,0.293306440114975,when you just finished shooting a bunch of black k
en_0063,a political meme,0.8815864324569702,obama working to legalize medical cannabis for all
en_0064,a sarcastic meme,0.5205630660057068,my wife just got a seashell tattoo on her inner th
en_0065,a sarcastic meme,0.5086672306060791,when you beat the shit out of the tranny hooker af
en_0066,a funny meme,0.3414943516254425,ring ring hello? i've been waiting for your call a
en_0067,a political meme,0.45771506428718567,i like my refugees like this '' '' ''
en_0068,a sarcastic meme,0.351407527923584,when you get hungry you can either think about it 
en_0069,an offensive meme,0.20489583909511566,what's the difference between a jew and a pizza? a
en_0070,an offensive meme,0.22880342602729797,taking photo with a mosque
en_0071,a sarcastic meme,0.5441386103630066,"""ay, tone. how'd da gas stay in if da door is made"
en_0072,a sarcastic meme,0.265674889087677,what do i have in common with cow pies? the older 
en_0073,a funny meme,0.26492252945899963,running chocolate
en_0074,a political meme,0.8719833493232727,"imagine, if you will an entire country so ignorant"
en_0075,a sarcastic meme,0.41442176699638367,im never doing a garden again!
en_0076,a political meme,0.3474769592285156,"coming soon to your neighborhood 300,000 islamic h"
en_0077,a funny meme,0.34542354941368103,"listen bitch, before you start fucking with me you"
en_0078,a funny meme,0.4477522075176239,masturbation it's not just for men
en_0079,a sarcastic meme,0.4756859838962555,what is this sleep of which you speak?
en_0080,a political meme,0.6554439067840576,oakland mayor libby schaaf i saved 800 ms-13 rapis
en_0081,a political meme,0.23895108699798584,"what if i told you that you cant ""tolerate"" a pers"
en_0082,an offensive meme,0.3103925287723541,look both ways before you cross the street
en_0083,a sarcastic meme,0.5176858901977539,what kind of punch can take out 20 kids and 6 adul
en_0084,a sarcastic meme,0.40938034653663635,"she said ""choke me daddy"" so i gave her 2 popeye's"
en_0085,a funny meme,0.28257307410240173,meditation before going to school
en_0086,a political meme,0.38230830430984497,we can kill as many as we want and your stupid gov
en_0087,a sarcastic meme,0.29610514640808105,so there is this new implant that can actually fix
en_0088,a political meme,0.5309511423110962,"if you're vaping inside a mcdonalds, inside a walm"
en_0089,a wholesome meme,0.3062313497066498,this cat is pushing a watermelon out of a lake. yo
en_0090,a sarcastic meme,0.4363557696342468,what do you call a retarded jew? auschwistic
en_0091,a sarcastic meme,0.2867474853992462,that blackened chicken was so dry it reminded me o
en_0092,a funny meme,0.3679629862308502,"yo dawg, i heard you like memes  so i made a meme "
en_0093,a sarcastic meme,0.3940877318382263,when everybody's worried about their ex but you're
en_0094,a funny meme,0.29396411776542664,cannibal tribe from indonesia will take muslim ref
