id,filename,text_in_image,text_english,sentiment,category,notes
jp_001,IMG_0018.jpeg,痴漢に狙われやすい立ち方 / 痴漢に狙われにくい立ち方,Ways to be targeted by gropers vs Ways to avoid being targeted,sarcastic,anime,Comparison meme about body language
jp_002,IMG_0017.jpeg,さむいでちゅ・・・！！！！！,It's so cold...!!!!!,wholesome,cute_character,Shivering hamster/dog character
jp_003,IMG_0016.jpeg,みこち、だいすき。今日もお健やかに。,I love Mikochi. Stay healthy today too.,funny,vtuber_gaming,Hololive Miko with sniper rifle
jp_004,IMG_0015.jpeg,見なよ…オレの義勇さんを…,Look at... my Giyuu-san...,funny,anime_demon_slayer,Demon Slayer fan meme
jp_005,IMG_0013.jpeg,不良のやつ / なんなのよほんと,The delinquent one / What is this really,funny,idol_game,ShinyMas/Idolmaster compilation
jp_006,IMG_0011.jpeg,葛葉200万人記念3Dライブ,Kuzuha 2M celebration 3D live,funny,vtuber,Real face vs VTuber avatar comparison
jp_007,IMG_0112.jpeg,エオ旅 / これからフレさん宅に内緒でお邪魔しようと企む,Eorzea trip / Planning to secretly visit a friend's house,funny,gaming_ff14,Final Fantasy 14 Lalafell characters
jp_008,IMG_0111.jpeg,「ら」ってなんやねんwww / 「わらい」を予測変換したかったんかなwww,"What's with just ""ra"" www / Probably tried to type ""warai"" (laugh) www",funny,internet_culture,Typo humor - typed ら instead of 笑
jp_009,IMG_0110.jpeg,NHK党の危機的状況に憂いを帯すぎるたつろーちゃん,Tatsuro-chan looking too worried about NHK Party's crisis,sarcastic,politics,Political commentary meme
jp_010,IMG_0108.jpeg,(No text in image - Anya peanut evolution),Anya peanut evolution,funny,anime_spy_family,Spy x Family Anya peanut meme - evolution stages
jp_011,IMG_0109.jpeg,立花に与する管財人は懲戒ダー / 立花孝志氏は常習的な嘘つきですね,Trustees siding with Tachibana deserve discipline / Tachibana is a habitual liar,sarcastic,politics,Political criticism meme
jp_012,IMG_0103.jpeg,MAPPAが作ったオリジナルシーン尽くミームになってるのおもろいw,It's funny how all the original scenes MAPPA made became memes lol,funny,anime_jjk,Jujutsu Kaisen - Naoya getting head patted
jp_013,IMG_0104.jpeg,"それにしても禪院直哉、あのミソジニーを煮詰めた""ドブカス""っぷり...","Even so, Zenin Naoya, that concentrated misogyny ""scumbag"" attitude...",funny,anime_jjk,Jujutsu Kaisen Naoya meme - became viral worldwide
jp_014,IMG_0105.jpeg,人の心とかないんか？/ ざっけんなや！！/ 呪力が練れん！！/ ドブカス…がぁ！！,Don't you have a heart? / Don't mess with me!! / Can't refine cursed energy!! / You scumbag...!!,funny,anime_jjk,Jujutsu Kaisen Naoya 4-panel meme compilation
jp_015,IMG_0106.jpeg,明日更新の『SPY×FAMILY』ですが、イラストのみとなるので0時前に告知させて頂きます,"Tomorrow's SPY×FAMILY update will be illustration only, announcing before midnight",wholesome,anime_spy_family,Author Endo apologizing - Anya bowing illustration
jp_016,IMG_0107.jpeg,SPY×FAMILY (on t-shirt),SPY×FAMILY,wholesome,anime_spy_family,Person wearing Anya smug face t-shirt
jp_017,IMG_0102.jpeg,滝のように流れる禪院直哉のミーム / 超面白かったよ,Zenin Naoya memes flowing like a waterfall / It was super funny,funny,anime_jjk,Jujutsu Kaisen Naoya meme compilation
jp_018,IMG_0101.jpeg,呪術廻戦観てたら...パンダ先輩に「★Imai」！好きばっかりだった,"Watching Jujutsu Kaisen... Panda-senpai has ""★Imai""! I loved it",funny,anime_jjk,Panda character with Imai brand mark easter egg
